Tipo;Objeto;Complexidade;Analise_EF;Esp_Codific; 
Report;ZRFI_BALANCETE;Alta;8;16;4
Report;ZRSD_PEDIDOS_ABERTOS;Média;4;8;2
Função;Z_FI_CALC_IMPOSTOS;Alta;6;12;3
Função;Z_SD_VERIFICA_ESTOQUE;Baixa;2;4;1
Classe;ZCL_INTEGRACAO_NFE;Alta;10;20;5
Classe;ZCL_HELPER_VENDAS;Média;3;6;2
Interface;ZIF_PROCESSADOR_DOC;Média;4;8;2
BAdI;ZMMBE_SAIDA_MERCADORIA;Alta;8;16;4
BAdI;ZLE_TRANSFERENCIA_EST;Média;4;8;2
User Exit;ZXVVZU01_BLOQUEIO_PED;Média;3;6;2
User Exit;ZXMBCU01_VAL_ENTRADA;Baixa;2;4;1
Enhancement;ZME21N_VALIDA_FORNEC;Alta;6;12;3
Enhancement;ZVA01_PREENCHIMENTO;Baixa;2;4;1
BAPI;ZBAPI_CRIAR_ORDEM;Alta;8;16;4
RFC;ZRFC_CONSULTA_SALDO;Média;4;8;2
Formulário;ZSF_NOTA_FISCAL;Alta;10;20;5
Formulário;ZSF_PEDIDO_COMPRA;Média;5;10;3
Workflow;ZWS_APROVACAO_NF;Alta;12;24;6
Tela/Dynpro;Z100_CADASTRO_CLIENTE;Média;4;8;2
Programa;ZSAP_CONVERSAO_DADOS;Alta;8;16;4
